song,bpm
0001_12step.mp3,113
0003_6foot7foot.mp3,84
0004_abc.mp3,94
0005_again.mp3,52
0006_aint2proud2beg.mp3,105
0008_america.mp3,66
0009_americanmusic.mp3,134
0011_areyouexperienced.mp3,82
0012_aroundtheworld.mp3,121
0013_athingaboutyou.mp3,77
0014_babaoriley.mp3,117
0015_babygotback.mp3,128
0017_badromance.mp3,119
0018_bassdownlow.mp3,113
0020_becauseofyou.mp3,110
0021_better.mp3,97
0022_betteroffalone.mp3,136
0024_billionaire.mp3,87
0026_blackandyellow.mp3,82
0027_blackened.mp3,65
0028_blackmagic.mp3,90
0032_boomboompow.mp3,136
0035_boyfriend.mp3,97
0036_breakingthegirl.mp3,59
0037_breakyourheart.mp3,122
0038_bringmetolife.mp3,95
0039_bulletproof.mp3,123
0040_bustamove.mp3,118
0041_calabria.mp3,126
0042_callme.mp3,61
0043_callmemaybe.mp3,120
0044_cameraeye.mp3,83
0045_cantgetyou.mp3,126
0046_castlesmadeofsand.mp3,95
0047_chinacatsunflower.mp3,89
0048_chingaling.mp3,102
0049_closer.mp3,126
0050_clubcanthandleme.mp3,128
0053_commander.mp3,125
0054_conceited.mp3,100
0055_constantmotion.mp3,89
0056_control.mp3,122
0057_crankthat.mp3,140
0058_criticalacclaim.mp3,138
0061_dabutt.mp3,97
0062_dance.mp3,113
0063_daysgoby.mp3,127
0065_deadandbloated.mp3,123
0066_decentdaysandnights.mp3,86
0067_deep.mp3,83
0068_devilsisland.mp3,83
0069_digginmedown.mp3,110
0070_dipitlow.mp3,84
0071_dirtypool.mp3,147
0072_discoinferno.mp3,128
0073_disturbia.mp3,125
0074_djgotusfallininlove.mp3,120
0075_dontcha.mp3,120
0077_dontsweat.mp3,106
0078_donttouchme.mp3,113
0079_dontyouwantme.mp3,118
0080_down.mp3,132
0081_downonme.mp3,80
0082_dragosteadintei.mp3,130
0083_dragthewaters.mp3,126
0084_dropitlikeitshot.mp3,91
0085_electricboogie.mp3,107
0086_escapade.mp3,115
0087_evacuate.mp3,127
0088_everybody.mp3,108
0091_fellonblackdays.mp3,101
0092_fergalicious.mp3,129
0093_fireburning.mp3,123
0094_fireflies.mp3,90
0095_firework.mp3,124
0096_fivemagics.mp3,64
0098_floods.mp3,124
0099_forgetyou.mp3,127
0100_futureperfecttense.mp3,120
0102_gangstaluv.mp3,102
0104_getbusy.mp3,100
0105_getdownonit.mp3,110
0106_getitshawty.mp3,128
0107_getlow.mp3,101
0109_geturfreakon.mp3,89
0110_girlsandboys.mp3,120
0111_girlsonfilm.mp3,132
0112_giveitup.mp3,140
0113_giveituptome.mp3,96
0114_givemeeverything.mp3,129
0115_gonnamakeyousweat.mp3,114
0116_goodies.mp3,102
0117_goodmorningblackfriday.mp3,87
0118_grenade.mp3,110
0119_gunpowderandlead.mp3,94
0122_heardemall.mp3,97
0123_heavyduty.mp3,74
0124_hello.mp3,128
0125_hellogoodmorning.mp3,104
0126_heymami.mp3,133
0127_hollabackgirl.mp3,110
0128_homecoming.mp3,61
0129_hotinherre.mp3,106
0130_hotstuff.mp3,121
0131_iamthebest.mp3,128
0132_iceicebaby.mp3,116
0135_igottafeeling.mp3,128
0137_iknowyouwantme.mp3,127
0138_ilikeit.mp3,129
0140_impacto.mp3,101
0141_indaclub.mp3,90
0142_indestructible.mp3,90
0143_informer.mp3,97
0145_iwantyouback.mp3,53
0148_jesusofsuburbia.mp3,83
0149_johnnyguitar.mp3,144
0150_justdance.mp3,119
0151_kingofdancehall.mp3,105
0152_kingofrock.mp3,99
0153_lalaland.mp3,85
0155_lapdance.mp3,102
0156_lastnight.mp3,121
0157_leanwitit.mp3,76
0158_letitrock.mp3,112
0159_letthemusicplay.mp3,118
0160_likeag6.mp3,125
0161_limelight.mp3,130
0162_lobotomy.mp3,126
0164_low.mp3,128
0165_lucretia.mp3,97
0167_makesomenoise.mp3,97
0168_maneater.mp3,133
0169_manicdepression.mp3,77
0172_marrythenight.mp3,66
0173_massiveattack.mp3,85
0174_maythisbelove.mp3,95
0175_meddle.mp3,84
0176_megasus.mp3,147
0177_milkshake.mp3,113
0178_mountainman.mp3,155
0179_moveslikejagger.mp3,128
0181_mrsaxobeat.mp3,127
0182_mycurse.mp3,59
0183_mynameisjonas.mp3,93
0184_myprerogative.mp3,110
0186_nearlylostyou.mp3,101
0189_neversaynever.mp3,97
0190_newfang.mp3,95
0191_newslang.mp3,130
0195_nookie.mp3,97
0197_nothinonyou.mp3,104
0198_nowthatwefoundlove.mp3,120
0199_numberofthebeast2.mp3,52
0200_oceansize.mp3,94
0201_oh.mp3,144
0204_onlyamemory.mp3,133
0208_opp.mp3,97
0209_paparazzi.mp3,115
0212_peoplegotalotofnerve.mp3,138
0214_planetrock.mp3,127
0215_pointofknowreturn.mp3,135
0216_poison.mp3,112
0217_pokerface.mp3,119
0219_pondereplay.mp3,99
0220_promiscuous.mp3,115
0223_reallove.mp3,95
0227_replay.mp3,91
0231_rightthurr.mp3,93
0233_rocknrollnightmare.mp3,79
0234_roundandround.mp3,128
0235_rudeboy.mp3,87
0236_rumpshaker.mp3,103
0237_run.mp3,75
0239_sandm.mp3,128
0240_sandstorm.mp3,136
0241_satellite.mp3,95
0242_satisfaction.mp3,130
0243_saucyjack.mp3,120
0244_sayaah.mp3,93
0246_scenario.mp3,101
0247_scream.mp3,128
0248_screamingfor.mp3,61
0249_sensualseduction.mp3,120
0250_sexyandiknowit.mp3,130
0251_sexychick.mp3,130
0254_sixsixsix.mp3,73
0255_sleepwalker.mp3,86
0257_somebodytolove.mp3,130
0258_sorry.mp3,74
0259_spiceupyourlife.mp3,124
0261_starships.mp3,125
0264_stereolove.mp3,127
0265_straightlines.mp3,128
0266_straightup.mp3,96
0267_superfreak.mp3,132
0269_sweettalk.mp3,81
0270_takeovercontrol.mp3,130
0272_teachmehowtojerk.mp3,97
0273_technologic.mp3,127
0274_temperature.mp3,124
0276_texasflood.mp3,57
0278_thatsthahomie.mp3,146
0279_thebreaks.mp3,113
0280_thedayitriedtolive.mp3,134
0281_theedgeofglory.mp3,121
0282_thegreatsatan.mp3,80
0283_thehumptydance.mp3,103
0284_thehustle.mp3,111
0285_thekill.mp3,61
0286_theragelive.mp3,76
0287_therewasatime.mp3,90
0288_thewayiare.mp3,115
0289_thisisexile.mp3,123
0290_thisishowwedoit.mp3,103
0291_thrasher.mp3,104
0292_timeslikethese.mp3,72
0293_tomsawyer2.mp3,87
0294_tonighttonight.mp3,100
0295_toxic.mp3,71
0296_transmaniaconmc.mp3,143
0297_troublecomesrunning.mp3,142
0298_turnmeon.mp3,106
0299_turnthebeataround.mp3,132
0301_unclejohnsband.mp3,136
0302_venus.mp3,126
0303_wakeupdead.mp3,82
0304_weaponofchoice.mp3,99
0305_wenospeakamericano.mp3,125
0306_werunthis.mp3,112
0307_whatdoesntkillyou.mp3,116
0308_whatislove.mp3,124
0309_whatsmyname.mp3,100
0310_whineup.mp3,125
0311_whipmyhair.mp3,82
0312_whitefalconfuzz.mp3,80
0314_whoomp.mp3,129
0315_whygo.mp3,117
0316_wildones.mp3,127
0318_windup.mp3,130
0321_wonderwall.mp3,87
0322_wordup.mp3,116
0323_yeah.mp3,105
0324_yeah3x.mp3,130
0325_ymca.mp3,127
0326_yougotittherightstuff.mp3,111
0327_youmakemefeel.mp3,132
0328_youmakemefeeldc.mp3,132
0329_youreajerk.mp3,99
